"","ID","name","club","photo","overall","x","y","type","color","position","neigh_1","neigh_2","neigh_3","neigh_4","neigh_5"
"16",173731,"G. Bale","Real Madrid CF","173731.png",89,4.18545794215748,0.59646434598249,"Box to Box Player","#C07C8D","RW","M. Pjanić","A. Florenzi","Z. Junuzović","Dani Alves","R. Guerreiro"
"17",153079,"S. Agüero","Manchester City","153079.png",89,3.70295215912694,3.70561002883858,"Out and Out Attacker","#2C90F7","ST","A. Robben","Coutinho","Juan Mata","P. Dybala","E. Hazard"
"18",138956,"G. Chiellini","Juventus","138956.png",89,-0.407894747547793,-4.68201284824023,"Defensive Playmaker","#DC7157","CB","Sokratis","E. Garay","Maicon","V. Ćorluka","V. Kompany"
"19",1179,"G. Buffon","Juventus","1179.png",89,-11.0868695021713,1.58718577684385,"Goalkeeper","#9487C6","GK","W. Caballero","Neto","S. Romero","Y. Cardinale","W. Szczęsny"
"20",211110,"P. Dybala","Juventus","211110.png",88,4.15834411684242,3.75003030504937,"Out and Out Attacker","#2C90F7","ST,CAM","E. Hazard","Neymar","S. Agüero","Coutinho","A. Robben"
"21",200389,"J. Oblak","Atlético Madrid","200389.png",88,-11.641426012253,1.97750447604588,"Goalkeeper","#9487C6","GK","L. Fabiański","S. Mandanda","S. Sirigu","José Reina","A. Lunev"
"22",194765,"A. Griezmann","Atlético Madrid","194765.png",88,3.66974233233166,3.17479784986553,"Out and Out Attacker","#2C90F7","RW,ST,LW","Coutinho","M. Reus","A. Robben","David Silva","T. Hazard"
"23",189509,"Thiago","FC Bayern Munich","189509.png",88,4.05867018742055,1.4182118689167,"Out and Out Attacker","#2C90F7","CAM,CM,CDM","Santi Cazorla","L. Modrić","H. Mkhitaryan","K. De Bruyne","T. Lemar"
"24",188567,"P. Aubameyang","Borussia Dortmund","188567.png",88,2.93734261192045,1.96917217487629,"Out and Out Attacker","#2C90F7","ST","Giuliano","L. Suárez","I. Piatti","Jonas","H. Ziyech"
"25",184344,"L. Bonucci","Milan","184344.png",88,1.17444810475279,-4.11209133920089,"Defensive Playmaker","#DC7157","CB","S. N'Zonzi","Iborra","E. Dier","M. Hummels","T. Alderweireld"
"26",183907,"J. Boateng","FC Bayern Munich","183907.png",88,0.469712712717628,-4.2080205412497,"Defensive Playmaker","#DC7157","CB","Javi Martínez","V. van Dijk","T. Motta","Piqué","T. Alderweireld"
"27",182493,"D. Godín","Atlético Madrid","182493.png",88,0.0125905574371393,-3.97254737980148,"Defensive Playmaker","#DC7157","CB","V. Kompany","B. Ivanović","Piqué","Javi Martínez","E. Garay"
"28",178603,"M. Hummels","FC Bayern Munich","178603.png",88,1.1633806043114,-3.49261355441534,"Defensive Playmaker","#DC7157","CB","Danilo Pereira","M. Fellaini","J. Vertonghen","E. Dier","William Carvalho"
"29",176635,"M. Özil","Arsenal","176635.png",88,2.56637520284054,3.56609088482314,"Out and Out Attacker","#2C90F7","RW,CAM","Eder","E. Višća","Iago Falqué","E. Çolak","Malcom"
"30",167948,"H. Lloris","Tottenham Hotspur","167948.png",88,-10.5277667173728,2.6107607064045,"Goalkeeper","#9487C6","GK","K. Schmeichel","V. Enyeama","Ederson","Casillas","A. Onana"
"31",164240,"Thiago Silva","Paris Saint-Germain","164240.png",88,1.9567265813361,-2.83880761529584,"Defensive Playmaker","#DC7157","CB","D. De Rossi","Sergio Ramos","David Luiz","N. Matić","Casemiro"
"32",41236,"Z. Ibrahimović","Manchester United","41236.png",88,2.52868249752906,0.396511317297028,"Box to Box Player","#C07C8D","ST","A. Ayew","Anderson Talisca","D. Baselli","H. Kane","V. Koziello"
"33",9014,"A. Robben","FC Bayern Munich","9014.png",88,3.65426547243125,3.48810328853436,"Out and Out Attacker","#2C90F7","RW,RM","Coutinho","S. Agüero","A. Griezmann","Gelson Martins","Juan Mata"
"34",215914,"N. Kanté","Chelsea","215914.png",87,2.98134407575249,-1.10563771560469,"Box to Box Player","#C07C8D","CM,CDM","J. Henderson","L. Goretzka","A. Witsel","A. Valencia","Fernandinho"
"35",199556,"M. Verratti","Paris Saint-Germain","199556.png",87,3.54466842039975,0.260978509476243,"Box to Box Player","#C07C8D","CM,CDM","J. Seri","G. Bonaventura","João Moutinho","I. Gündoğan","Jordi Alba"
"36",195864,"P. Pogba","Manchester United","195864.png",87,3.88364046100864,-1.53444723940211,"Box to Box Player","#C07C8D","CM,CDM","Marcelo","R. Nainggolan","A. Vidal","J. Milner","Alex Sandro"
"37",190460,"C. Eriksen","Tottenham Hotspur","190460.png",87,3.56760256308688,2.33374509390153,"Out and Out Attacker","#2C90F7","RM,CAM,LM","J. Rodríguez","K. Gameiro","A. Lacazette","Felipe Anderson","Marlos"
"38",181872,"A. Vidal","FC Bayern Munich","181872.png",87,4.3967621211752,-1.77203050366775,"Box to Box Player","#C07C8D","CM,CDM","P. Pogba","R. Nainggolan","Marcelo","J. Milner","D. Alaba"
"39",179813,"E. Cavani","Paris Saint-Germain","179813.png",87,2.98141761602957,1.00229503723274,"Box to Box Player","#C07C8D","ST","I. Perišić","Y. Belhanda","Fred","E. Banega","M. Acuña"
"40",176676,"Marcelo","Real Madrid CF","176676.png",87,3.59483212891411,-1.37759288031453,"Box to Box Player","#C07C8D","LB","P. Pogba","R. Nainggolan","Alex Sandro","L. Goretzka","D. Srna"
"41",171877,"M. Hamšík","Napoli","171877.png",87,3.53585899830877,-0.0183209292486162,"Box to Box Player","#C07C8D","CM","T. Kroos","Jordi Alba","M. Verratti","G. Bonaventura","J. Seri"
"42",168651,"I. Rakitić","FC Barcelona","168651.png",87,3.34260120937152,0.706085407598274,"Box to Box Player","#C07C8D","CM","Borja Valero","Cesc Fàbregas","A. Guardado","R. Guerreiro","O. Özyakup"
"43",168542,"David Silva","Manchester City","168542.png",87,3.90689828337904,2.96748860009299,"Out and Out Attacker","#2C90F7","CAM,CM,LM","M. Reus","A. Griezmann","Coutinho","A. Sánchez","A. Robben"
"44",162835,"S. Handanovič","Inter","162835.png",87,-11.7763452124987,1.3495233276695,"Goalkeeper","#9487C6","GK","Alisson","M. ter Stegen","A. Areola","S. Sorrentino","Diego López"
"45",152729,"Piqué","FC Barcelona","152729.png",87,0.191471522491998,-3.78006813581418,"Defensive Playmaker","#DC7157","CB","B. Ivanović","V. van Dijk","D. Godín","L. Fejsa","Javi Martínez"
"46",41,"Iniesta","FC Barcelona","41.png",87,3.53509761499642,1.88526672578289,"Out and Out Attacker","#2C90F7","CM,LM","A. Di María","Isco","A. Lacazette","T. Lemar","M. Kruse"
"47",202126,"H. Kane","Tottenham Hotspur","202126.png",86,2.38222325601765,0.308750290568834,"Box to Box Player","#C07C8D","ST","Anderson Talisca","Bernat","Z. Ibrahimović","A. Ayew","D. Baselli"
"48",198710,"J. Rodríguez","FC Bayern Munich","198710.png",86,3.560729843275,2.37479228268435,"Out and Out Attacker","#2C90F7","RM,CAM,CM","C. Eriksen","K. Gameiro","Marlos","Felipe Anderson","A. Lacazette"
"49",197781,"Isco","Real Madrid CF","197781.png",86,3.42337194558282,1.7071845049112,"Out and Out Attacker","#2C90F7","RM,CAM,CM,LM","A. Di María","Iniesta","Pizzi","T. Lemar","M. Kruse"
"50",197445,"D. Alaba","FC Bayern Munich","197445.png",86,3.81875939859611,-0.766021705287496,"Box to Box Player","#C07C8D","CM,CB,LB","J. Milner","D. Srna","R. Nainggolan","Ander Herrera","Adrien Silva"
"51",192505,"R. Lukaku","Manchester United","192505.png",86,1.69965185810595,0.109422757929801,"Box to Box Player","#C07C8D","ST","A. Gignac","Dani Ceballos","Soares","Diego Costa","M. Antonio"
"52",191043,"Alex Sandro","Juventus","191043.png",86,3.19719999339284,-1.67604545475849,"Box to Box Player","#C07C8D","LM,LB","K. Strootman","B. Matuidi","A. Witsel","C. Tolisso","A. Valencia"
"53",189596,"T. Müller","FC Bayern Munich","189596.png",86,2.82707826193324,1.13725213369143,"Box to Box Player","#C07C8D","RW,ST,CF,CAM","N. Keïta","K. Volland","M. Acuña","M. Krohn-Dehli","Y. Belhanda"
"54",189511,"Sergio Busquets","FC Barcelona","189511.png",86,1.16303894324543,-3.08607908874054,"Defensive Playmaker","#DC7157","CM,CDM","V. Wanyama","M. Rojo","L. Perrin","G. Barry","Danilo Pereira"
"55",189242,"Coutinho","Liverpool","189242.png",86,3.675669082465,3.46246474474957,"Out and Out Attacker","#2C90F7","LW,CAM","A. Robben","S. Agüero","A. Griezmann","Gelson Martins","Juan Mata"
"56",188350,"M. Reus","Borussia Dortmund","188350.png",86,3.81999725328578,2.90837020391192,"Out and Out Attacker","#2C90F7","ST,LW,LM","David Silva","A. Griezmann","Coutinho","J. Rodríguez","A. Sánchez"
"57",184087,"T. Alderweireld","Tottenham Hotspur","184087.png",86,0.64836136550914,-3.72606251849622,"Defensive Playmaker","#DC7157","CB","T. Motta","S. N'Zonzi","Iborra","E. Dier","G. Krychowiak"
"58",179944,"David Luiz","Chelsea","179944.png",86,1.67837859796269,-2.9034553721156,"Defensive Playmaker","#DC7157","CB","N. Matić","Casemiro","Thiago Silva","L. Bender","V. Wanyama"
"59",179844,"Diego Costa","Chelsea","179844.png",86,1.58576867059115,-0.220084131682254,"Box to Box Player","#C07C8D","ST","Aduriz","Nélson Semedo","Héctor Bellerín","Soares","Renato Augusto"
"60",178518,"R. Nainggolan","Roma","178518.png",86,3.90438676495832,-1.06064774158998,"Box to Box Player","#C07C8D","CAM,CM","J. Milner","D. Alaba","D. Srna","Marcelo","P. Pogba"
"61",177610,"Javi Martínez","FC Bayern Munich","177610.png",86,0.306331538647222,-4.07496215258755,"Defensive Playmaker","#DC7157","CDM,CB","V. van Dijk","J. Boateng","D. Godín","Piqué","B. Ivanović"
"62",175943,"D. Mertens","Napoli","175943.png",86,4.00052333468844,4.3826724079962,"Out and Out Attacker","#2C90F7","ST,LW,CF","Neymar","A. Gómez","F. Ribéry","S. Giovinco","P. Dybala"
"63",172879,"Sokratis","Borussia Dortmund","172879.png",86,-0.397817273945069,-4.12115921710495,"Defensive Playmaker","#DC7157","CB","V. Ćorluka","E. Garay","A. Laporte","J. Matip","V. Kompany"
"64",168609,"Miranda","Inter","168609.png",86,-0.38744960631611,-3.77317937196502,"Defensive Playmaker","#DC7157","CB","R. Varane","N. Otamendi","A. Laporte","B. Höwedes","V. Ćorluka"
"65",165153,"K. Benzema","Real Madrid CF","165153.png",86,2.34431592180878,2.2730382932629,"Out and Out Attacker","#2C90F7","ST","H. Ben Arfa","F. Thauvin","S. Gnabry","L. Sané","M. Depay"
"66",162895,"Cesc Fàbregas","Chelsea","162895.png",86,3.25984296353073,0.590591799290576,"Box to Box Player","#C07C8D","CAM,CM,CDM","I. Rakitić","Borja Valero","G. Wijnaldum","A. Lallana","A. Guardado"
"67",156616,"F. Ribéry","FC Bayern Munich","156616.png",86,3.42895096050131,4.44081692915815,"Out and Out Attacker","#2C90F7","LW,LM","A. Gómez","Quaresma","D. Mertens","Juan Mata","Iuri Medeiros"
"68",120533,"Pepe","Beşiktaş JK","120533.png",86,-0.978011357040375,-4.08987390975237,"Defensive Anchor","#EF6537","CB","G. Cahill","Víctor Ruíz","S. Kjær","Felipe","J. Bruma"
"69",48940,"P. Čech","Arsenal","48940.png",86,-11.7708487948002,1.83199311704168,"Goalkeeper","#9487C6","GK","V. Babacan","T. Courtois","R. Zieler","S. Sirigu","M. Sportiello"
"70",208418,"Y. Carrasco","Atlético Madrid","208418.png",85,2.916440367048,3.34928988318752,"Out and Out Attacker","#2C90F7","RM,LM","Gabriel Jesus","Iago Aspas","Pedro","W. Sneijder","Q. Promes"
"71",201535,"R. Varane","Real Madrid CF","201535.png",85,-0.42549348424344,-3.71909808702532,"Defensive Playmaker","#DC7157","CB","Miranda","N. Otamendi","B. Höwedes","A. Laporte","S. Kolašinac"
"72",201153,"Morata","Chelsea","201153.png",85,1.63073830448446,1.40212059233748,"Out and Out Attacker","#2C90F7","ST","A. Belotti","D. Laxalt","Ganso","Gerard Moreno","D. Welbeck"
"73",200145,"Casemiro","Real Madrid CF","200145.png",85,1.78266031007389,-3.11719080431142,"Defensive Playmaker","#DC7157","CDM","N. Matić","David Luiz","Thiago Silva","V. Wanyama","Sergio Ramos"
"74",198219,"L. Insigne","Napoli","198219.png",85,3.58682304494277,5.47630483446128,"Out and Out Attacker","#2C90F7","LW","S. Giovinco","F. Ribéry","D. Mertens","Quaresma","A. Gómez"
"75",193747,"Koke","Atlético Madrid","193747.png",85,3.19397572988008,0.321406017595131,"Box to Box Player","#C07C8D","RM,CM,LM","A. Lallana","A. Turan","W. Rooney","I. Gündoğan","G. Castro"
"76",193301,"A. Lacazette","Arsenal","193301.png",85,3.37577389782074,2.0883612276652,"Out and Out Attacker","#2C90F7","ST","Felipe Anderson","Jonathan Viera","A. Di María","M. Kruse","Iniesta"
"77",193041,"K. Navas","Real Madrid CF","193041.png",85,-11.0932406599708,2.46176625384865,"Goalkeeper","#9487C6","GK","Sergio Asenjo","Pau López","Y. Sommer","G. Ochoa","M. Perin"
"78",192883,"H. Mkhitaryan","Manchester United","192883.png",85,3.74714325011513,1.59373686253789,"Out and Out Attacker","#2C90F7","RW,RM,CAM,LM","Santi Cazorla","T. Lemar","Pizzi","K. De Bruyne","Isco"
"79",192593,"D. Subašić","AS Monaco","192593.png",85,-11.3781744276512,1.70705037985732,"Goalkeeper","#9487C6","GK","W. Szczęsny","Neto","R. Bürki","B. Leno","A. Begović"
"80",192563,"B. Leno","Bayer 04 Leverkusen","192563.png",85,-11.5439775716617,1.76604264589508,"Goalkeeper","#9487C6","GK","A. Lunev","Adrián","R. Bürki","M. Sportiello","D. Subašić"
"81",192448,"M. ter Stegen","FC Barcelona","192448.png",85,-11.7172975024853,1.30159617866009,"Goalkeeper","#9487C6","GK","S. Handanovič","Alisson","A. Areola","J. Butland","Adán"
"82",190547,"K. Glik","AS Monaco","190547.png",85,-3.26166452421998,-5.76569668258313,"Defensive Anchor","#EF6537","CB","K. Koulibaly","N. Süle","F. Fazio","G. Paletta","P. Mertesacker"
"83",189332,"Jordi Alba","FC Barcelona","189332.png",85,3.30929758452429,0.136218933713121,"Box to Box Player","#C07C8D","LB","L. Stindl","W. Rooney","G. Bonaventura","I. Gündoğan","Koke"
"84",186942,"I. Gündoğan","Manchester City","186942.png",85,3.30700369705313,0.3528209754629,"Box to Box Player","#C07C8D","CM,CDM","G. Wijnaldum","A. Lallana","Koke","G. Bonaventura","A. Turan"
"85",184432,"Azpilicueta","Chelsea","184432.png",85,2.14430713747297,-2.06693616950888,"Box to Box Player","#C07C8D","RB,CB,LB","E. Can","L. Piszczek","M. Schneiderlin","M. Mandžukić","B. Schweinsteiger"
"86",183898,"A. Di María","Paris Saint-Germain","183898.png",85,3.44485711806951,1.855934018955,"Out and Out Attacker","#2C90F7","RW,LW","Iniesta","Isco","A. Lacazette","M. Kruse","T. Lemar"
"87",180206,"M. Pjanić","Juventus","180206.png",85,3.83634236578009,0.522777746583411,"Box to Box Player","#C07C8D","CM,CDM","Z. Junuzović","João Moutinho","G. Bale","R. Guerreiro","J. Seri"
"88",173210,"C. Marchisio","Juventus","173210.png",85,4.2062460761527,-0.545399641496419,"Box to Box Player","#C07C8D","CM,CDM","J. Milner","D. Alaba","R. Nainggolan","Dani Alves","Adrien Silva"
"89",172871,"J. Vertonghen","Tottenham Hotspur","172871.png",85,1.3724789726122,-3.40786708324432,"Defensive Playmaker","#DC7157","CB","M. Hummels","V. Wanyama","Danilo Pereira","Sergio Busquets","M. Fellaini"
"90",170890,"B. Matuidi","Juventus","170890.png",85,2.95002965910149,-1.63046310815341,"Box to Box Player","#C07C8D","CM,CDM","K. Strootman","C. Tolisso","Alex Sandro","Filipe Luís","A. Valencia"
"91",167628,"S. Ruffier","AS Saint-Étienne","167628.png",85,-11.8699419184021,1.63682923280626,"Goalkeeper","#9487C6","GK","O. Baumann","T. Courtois","A. Areola","C. Kameni","V. Babacan"
"92",164169,"Filipe Luís","Atlético Madrid","164169.png",85,2.70245325794436,-1.68726746463131,"Box to Box Player","#C07C8D","LB","M. Parolo","S. Lichtsteiner","B. Matuidi","M. Dembélé","Y. Touré"
"93",139720,"V. Kompany","Manchester City","139720.png",85,-0.0680990803478892,-4.11016026434563,"Defensive Playmaker","#DC7157","CB","D. Godín","E. Garay","Sokratis","B. Ivanović","A. Laporte"
"94",137186,"A. Barzagli","Juventus","137186.png",85,-1.37004753900389,-4.2562692443027,"Defensive Anchor","#EF6537","CB","A. Granqvist","F. Lejeune","Marcelo","J. Bruma","A. Ogbonna"
"95",225508,"E. Bailly","Manchester United","225508.png",84,-0.584433232957396,-3.53631503526768,"Defensive Playmaker","#DC7157","CB","S. Kolašinac","M. Keane","B. Höwedes","L. Koscielny","Dante"
"96",220834,"Marco Asensio","Real Madrid CF","220834.png",84,2.86070662652871,2.5619428449484,"Out and Out Attacker","#2C90F7","RW,LW,CAM","David Villa","N. Fekir","S. Mané","Lucas","V. Germain"
"97",218667,"Bernardo Silva","Manchester City","218667.png",84,3.1941020354088,2.90933962289238,"Out and Out Attacker","#2C90F7","RM","S. Nasri","Taison","Willian","W. Ben Yedder","T. Hazard"
"98",212218,"A. Laporte","Athletic Club de Bilbao","212218.png",84,-0.364289402695856,-3.93553401602327,"Defensive Playmaker","#DC7157","CB","V. Ćorluka","Miranda","E. Garay","Sokratis","R. Varane"
"99",211117,"D. Alli","Tottenham Hotspur","211117.png",84,2.98390906574966,-0.623146317627377,"Box to Box Player","#C07C8D","ST,CF,CAM,LM","L. Biglia","M. Sanson","J. Kimmich","Gabi","Alex Telles"
"100",208722,"S. Mané","Liverpool","208722.png",84,2.96243701707546,2.54835718476081,"Out and Out Attacker","#2C90F7","RW,LW","Lucas","David Villa","Marco Asensio","N. Fekir","D. Berardi"
"101",204963,"Carvajal","Real Madrid CF","204963.png",84,1.34479356257519,-1.72969779592747,"Box to Box Player","#C07C8D","RB","R. Gagliardini","M. Carrick","M. Vecino","S. Vrsaljko","G. Medel"
"102",202166,"J. Draxler","Paris Saint-Germain","202166.png",84,2.72575697896663,2.36581400313189,"Out and Out Attacker","#2C90F7","LW,CAM,LM","Denis Suárez","Lucas Pérez","N. Fekir","M. Salah","M. Almirón"
"103",201399,"M. Icardi","Inter","201399.png",84,1.31533875844185,1.88126092613567,"Out and Out Attacker","#2C90F7","ST","M. Gabbiadini","F. Kostić","Vágner Love","A. Gyan","D. Benedetto"
"104",201024,"K. Koulibaly","Napoli","201024.png",84,-3.38763695192693,-5.63381396992865,"Defensive Anchor","#EF6537","CB","N. Süle","K. Glik","F. Fazio","G. Paletta","P. Mertesacker"
"105",200316,"T. Horn","1. FC Köln","200316.png",84,-12.3271422230206,1.85069145005437,"Goalkeeper","#9487C6","GK","O. Karnezis","B. Costil","E. Viviano","R. Adler","Arrizabalaga"
"106",192774,"K. Manolas","Roma","192774.png",84,-2.99390653944451,-4.94634257245082,"Defensive Anchor","#EF6537","CB","Jardel","Luisão","J. Tah","R. Thomas","M. Škrtel"
"107",192227,"S. Mustafi","Arsenal","192227.png",84,0.0216720576874447,-3.16953138863131,"Defensive Playmaker","#DC7157","CB","Iñigo Martínez","Daniel Carriço","Mikel San José","M. Musacchio","J. Guilavogui"
"108",191740,"Ander Herrera","Manchester United","191740.png",84,3.56132851136989,-0.55483527543373,"Box to Box Player","#C07C8D","CM,CDM","Adrien Silva","L. Baines","D. Srna","D. Alaba","T. Kroos"
"109",191202,"N. Matić","Manchester United","191202.png",84,1.76831417437165,-3.10614913532606,"Defensive Playmaker","#DC7157","CM,CDM","Casemiro","David Luiz","Thiago Silva","V. Wanyama","Sergio Ramos"
"110",189712,"K. Strootman","Roma","189712.png",84,3.04703411332404,-1.71975032805854,"Box to Box Player","#C07C8D","CM,CDM","B. Matuidi","Alex Sandro","C. Tolisso","Filipe Luís","A. Witsel"
"111",189505,"Pedro","Chelsea","189505.png",84,2.91018869614484,3.15775341879382,"Out and Out Attacker","#2C90F7","RW,LW","Q. Promes","Y. Carrasco","Gabriel Jesus","Iago Aspas","S. Nasri"
"112",189117,"R. Bürki","Borussia Dortmund","189117.png",84,-11.5214538115835,1.68487783156112,"Goalkeeper","#9487C6","GK","B. Leno","D. Subašić","A. Lunev","Adrián","M. Sportiello"
"113",184120,"Bruno","Villarreal CF","184120.png",84,1.87612982849175,-2.37584443926555,"Box to Box Player","#C07C8D","CM,CDM","R. Battaglia","T. Meunier","S. Milinković-Savić","Fabinho","D. De Rossi"
"114",181458,"I. Perišić","Inter","181458.png",84,2.92755678443093,0.998871833091473,"Box to Box Player","#C07C8D","CAM,LM","Y. Belhanda","E. Cavani","Fred","M. Acuña","T. Müller"
"115",180930,"E. Džeko","Roma","180930.png",84,0.53877621644239,0.368234402963643,"Box to Box Player","#C07C8D","ST","M. Gómez","C. Benteke","Willian José","V. Ibišević","W. Bony"
"116",180403,"Willian","Chelsea","180403.png",84,3.10719923599934,2.73221026929849,"Out and Out Attacker","#2C90F7","RW,RM,CAM","Taison","X. Shaqiri","Lucas","Bernardo Silva","S. Mané"
"117",179846,"S. Khedira","Juventus","179846.png",84,2.29002506684946,-2.76686127358851,"Box to Box Player","#C07C8D","CM,CDM","Sergio Ramos","J. Kucka","D. De Rossi","Thiago Silva","Fabinho"
"118",179783,"R. Fährmann","FC Schalke 04","179783.png",84,-12.3014731789186,0.632396843457049,"Goalkeeper","#9487C6","GK","M. Hitz","C. Carrasso","J. Butland","S. Sorrentino","R. Jarstein"
"119",178750,"Sergio Asenjo","Villarreal CF","178750.png",84,-11.1638890307875,2.43880640167961,"Goalkeeper","#9487C6","GK","K. Navas","Pau López","G. Ochoa","Y. Sommer","M. Perin"
"120",178088,"Juan Mata","Manchester United","178088.png",84,3.38855794485547,3.80649238228474,"Out and Out Attacker","#2C90F7","RM,CAM","Douglas Costa","Nani","I. Traoré","S. Agüero","A. Robben"
"121",177509,"M. Benatia","Juventus","177509.png",84,-1.72761370423473,-4.65379136296943,"Defensive Anchor","#EF6537","CB","J. Giménez","A. Rami","D. Astori","Raúl Albiol","M. Sakho"
"122",167397,"Falcao","AS Monaco","167397.png",84,2.61208635383266,1.53722572101885,"Out and Out Attacker","#2C90F7","ST","E. Lamela","S. Eto'o","A. Kokorin","A. Samedov","V. Darida"
"123",165229,"L. Koscielny","Arsenal","165229.png",84,-0.495004682740896,-3.43259861342707,"Defensive Playmaker","#DC7157","CB","G. Rodríguez","S. Bender","E. Bailly","S. Kolašinac","V. Lindelöf"
"124",164468,"G. Cahill","Chelsea","164468.png",84,-1.08447943608939,-4.00486840965442,"Defensive Anchor","#EF6537","CB","Pepe","Felipe","J. Bruma","S. de Vrij","S. Sané"
"125",146530,"Dani Alves","Paris Saint-Germain","146530.png",84,3.9469145578036,0.0328491595391231,"Box to Box Player","#C07C8D","RB","A. Florenzi","M. Hamšík","M. Verratti","T. Kroos","M. Pjanić"
"126",143076,"A. Gómez","Atalanta","143076.png",84,3.63193543563667,4.23919544041905,"Out and Out Attacker","#2C90F7","ST,LW,CF","F. Ribéry","D. Mertens","Juan Mata","S. Agüero","Neymar"
"127",106231,"Aduriz","Athletic Club de Bilbao","106231.png",84,1.4628245513636,-0.397658934146381,"Box to Box Player","#C07C8D","ST","Héctor Bellerín","Diego Costa","Nélson Semedo","N. Tagliafico","I. Slimani"
"128",231747,"K. Mbappé","Paris Saint-Germain","231747.png",83,2.91082976236094,1.39587507610334,"Box to Box Player","#C07C8D","ST","A. Candreva","N. Keïta","A. Samedov","K. Volland","M. Acuña"
"129",231443,"O. Dembélé","FC Barcelona","231443.png",83,2.82989650101894,3.95209161461281,"Out and Out Attacker","#2C90F7","RW,LW","Y. Brahimi","Iuri Medeiros","M. Lanzini","R. Mahrez","Malcom"
"130",220971,"N. Keïta","RB Leipzig","220971.png",83,2.87202620858139,1.18979789409842,"Box to Box Player","#C07C8D","CAM,CM,CDM","K. Volland","T. Müller","M. Acuña","Y. Belhanda","A. Candreva"
"131",216460,"J. Giménez","Atlético Madrid","216460.png",83,-1.90330089223153,-4.48969448701257,"Defensive Anchor","#EF6537","CB","D. Astori","M. Sakho","M. Benatia","Raúl Albiol","D. Lovren"
"132",215316,"G. Rulli","Real Sociedad","215316.png",83,-11.7524282814163,2.36654163406817,"Goalkeeper","#9487C6","GK","L. Karius","I. Akinfeev","L. Fabiański","S. Sirigu","A. Consigli"
"133",213565,"T. Lemar","AS Monaco","213565.png",83,3.7130278831722,1.67009283201999,"Out and Out Attacker","#2C90F7","LM","H. Mkhitaryan","Santi Cazorla","Pizzi","Iniesta","Isco"
